Product ID,Product Name,Product Price,Product URL,Product Description,Product Image URL,Category
GC190,Gift Card - £25.00,25,https://www.travelgift.uk/product/travel-giftcards/,Travel Gift UK,https://www.travelgift.uk/wp-content/uploads/2021/09/GIFT-CARD2FINAL-04.jpg,Gift Cards
GC191,Gift Card - £50.00,50,https://www.travelgift.uk/product/travel-giftcards-2/,Travel Gift UK,https://www.travelgift.uk/wp-content/uploads/2021/09/GIFT-CARD2FINAL-03.jpg,Gift Cards
GC192,Gift Card - £75.00,75,https://www.travelgift.uk/product/travel-giftcards-3/,Travel Gift UK,https://www.travelgift.uk/wp-content/uploads/2021/09/GIFT-CARD2FINAL-01.jpg,Gift Cards
GC193,Gift Card - £100.00,100,https://www.travelgift.uk/product/travel-giftcards-4/,Travel Gift UK,https://www.travelgift.uk/wp-content/uploads/2021/09/GIFT-CARD2FINAL1.png,Gift Cards
HOTEL,Hotel,0,https://www.travelgift.uk/hotels/,"Search from over 250,000 Hotels & Apartments worldwide and book with or without our Travel GiftCard",https://www.travelgift.uk/wp-content/uploads/2022/07/Giftcards4travel_Website-Banners-1-scaled.jpg,Hotels
TRANSFER,Transfer,0,https://www.travelgift.uk/transfers/,"Quality Transfers Worldwide. Searching over 7500 cities & resorts via more than 700 airports, ports & train stations",https://www.travelgift.uk/wp-content/plugins/gctcf/public/images/shuttle.jpg,Transfers
ATTRACTION,Attraction,0,https://www.travelgift.uk/attractions/,Top-Rated Tourist Attractions. World's Most Visited Tourist Attractions,https://www.travelgift.uk/wp-content/uploads/2022/03/Attractionsjpeg.png,Attractions
CARHIRE,Car Hire,0,https://www.travelgift.uk/car-hire/,Search top rated car hire agencies with thousands of pickup locations worldwide.,https://www.travelgift.uk/wp-content/plugins/gctcf/public/images/luxury_private.jpg,Car Hire
TOUR,Tour,0,https://www.travelgift.uk/tours/,Find punting and walking tours and great online experiences.,https://www.travelgift.uk/wp-content/uploads/2021/09/gc-tour-bg.jpeg,Tours
